data;plano contas id;cliente;uf;valor recebido
12/04/2017;11;Cliente 26;SP;R$ 7.507,90
12/04/2017;11;Cliente 26;SP;R$ 23.189,74
13/04/2017;11;Cliente 26;SP;R$ 71,23
13/04/2017;11;Cliente 26;SP;R$ 78,08
13/04/2017;11;Cliente 26;SP;R$ 164,69
13/04/2017;11;Cliente 26;SP;R$ 201,97
13/04/2017;11;Cliente 26;SP;R$ 11,96
13/04/2017;11;Cliente 26;SP;R$ 140,53
13/04/2017;11;Cliente 26;SP;R$ 1.202,72
17/04/2017;11;Cliente 26;SP;R$ 21,30
18/04/2017;11;Cliente 26;SP;R$ 889,94
18/04/2017;11;Cliente 26;SP;R$ 15.436,69
19/04/2017;11;Cliente 26;SP;R$ 15,57
19/04/2017;11;Cliente 26;SP;R$ 500,98
25/04/2017;11;Cliente 26;SP;R$ 20.202,91
02/05/2017;11;Cliente 26;SP;R$ 559,85
02/05/2017;11;Cliente 26;SP;R$ 16,43
02/05/2017;11;Cliente 26;SP;R$ 237,36
02/05/2017;11;Cliente 26;SP;R$ 126,36
02/05/2017;11;Cliente 26;SP;R$ 12,82
02/05/2017;11;Cliente 26;SP;R$ 159,07
02/05/2017;11;Cliente 26;SP;R$ 211,14
05/05/2017;11;Cliente 26;SP;R$ 8.722,14
08/05/2017;11;Cliente 26;SP;R$ 225,86
08/05/2017;11;Cliente 26;SP;R$ 102,32
08/05/2017;11;Cliente 26;SP;R$ 470,03
09/05/2017;11;Cliente 26;SP;R$ 3.481,53
15/05/2017;11;Cliente 26;SP;R$ 140,33
17/05/2017;11;Cliente 26;SP;R$ 66,76
17/05/2017;11;Cliente 26;SP;R$ 1.021,00
17/05/2017;11;Cliente 26;SP;R$ 285,04
17/05/2017;11;Cliente 26;SP;R$ 11.615,48
18/05/2017;11;Cliente 26;SP;R$ 387,98
18/05/2017;11;Cliente 26;SP;R$ 157,44
29/05/2017;11;Cliente 26;SP;R$ 3.778,16
31/05/2017;11;Cliente 26;SP;R$ 55,37
31/05/2017;11;Cliente 26;SP;R$ 59,02
01/06/2017;11;Cliente 26;SP;R$ 940,52
02/06/2017;11;Cliente 26;SP;R$ 38,27
06/06/2017;11;Cliente 26;SP;R$ 173,17
08/06/2017;11;Cliente 26;SP;R$ 1.007,07
09/06/2017;11;Cliente 26;SP;R$ 89.296,71
09/06/2017;11;Cliente 26;SP;R$ 1.368,66
12/06/2017;11;Cliente 26;SP;R$ 243.314,56
13/06/2017;11;Cliente 26;SP;R$ 777,93
14/06/2017;11;Cliente 26;SP;R$ 337.996,85
14/06/2017;11;Cliente 26;SP;R$ 2.090,30
19/06/2017;11;Cliente 26;SP;R$ 226,16
19/06/2017;11;Cliente 26;SP;R$ 70,09
19/06/2017;11;Cliente 26;SP;R$ 1.084,56
21/06/2017;11;Cliente 26;SP;R$ 60,88
23/06/2017;11;Cliente 26;SP;R$ 135,01
27/06/2017;11;Cliente 26;SP;R$ 730,89
27/06/2017;11;Cliente 26;SP;R$ 293,47
27/06/2017;11;Cliente 26;SP;R$ 1.666,60
28/06/2017;11;Cliente 26;SP;R$ 88,75
30/06/2017;11;Cliente 26;SP;R$ 823,17
03/07/2017;11;Cliente 26;SP;R$ 511,29
04/07/2017;11;Cliente 26;SP;R$ 280,67
05/07/2017;11;Cliente 26;SP;R$ 955,19
06/07/2017;11;Cliente 26;SP;R$ 70,37
06/07/2017;11;Cliente 26;SP;R$ 598,31
07/07/2017;11;Cliente 26;SP;R$ 339,76
07/07/2017;11;Cliente 26;SP;R$ 1.091,78
07/07/2017;11;Cliente 26;SP;R$ 3.718,60
10/07/2017;11;Cliente 26;SP;R$ 49.591,17
13/07/2017;11;Cliente 26;SP;R$ 1.100,43
17/07/2017;11;Cliente 26;SP;R$ 146.356,30
18/07/2017;11;Cliente 26;SP;R$ 2.688,13
18/07/2017;11;Cliente 26;SP;R$ 625,65
21/07/2017;11;Cliente 26;SP;R$ 901,52
21/07/2017;11;Cliente 26;SP;R$ 1.338,10
21/07/2017;11;Cliente 26;SP;R$ 835,71
21/07/2017;11;Cliente 26;SP;R$ 75.361,51
24/07/2017;11;Cliente 26;SP;R$ 342,72
26/07/2017;11;Cliente 26;SP;R$ 1.675,14
26/07/2017;11;Cliente 26;SP;R$ 402,67
26/07/2017;11;Cliente 26;SP;R$ 736,76
28/07/2017;11;Cliente 26;SP;R$ 78.192,74
28/07/2017;11;Cliente 26;SP;R$ 120.411,91
28/07/2017;11;Cliente 26;SP;R$ 2.867,24
31/07/2017;11;Cliente 26;SP;R$ 90,70
02/08/2017;11;Cliente 26;SP;R$ 66,17
02/08/2017;11;Cliente 26;SP;R$ 81,26
02/08/2017;11;Cliente 26;SP;R$ 58,29
03/08/2017;11;Cliente 26;SP;R$ 1.923,25
04/08/2017;11;Cliente 26;SP;R$ 2.109,12
07/08/2017;11;Cliente 26;SP;R$ 367,93
08/08/2017;11;Cliente 26;SP;R$ 1.247,73
14/08/2017;11;Cliente 26;SP;R$ 323,01
16/08/2017;11;Cliente 26;SP;R$ 93,29
16/08/2017;11;Cliente 26;SP;R$ 128.469,68
24/08/2017;11;Cliente 26;SP;R$ 297.603,92
24/08/2017;11;Cliente 26;SP;R$ 66.956,71
04/09/2017;11;Cliente 26;SP;R$ 59,08
05/09/2017;11;Cliente 26;SP;R$ 1.042,26
05/09/2017;11;Cliente 26;SP;R$ 71,03
12/09/2017;11;Cliente 26;SP;R$ 584,72
12/09/2017;11;Cliente 26;SP;R$ 1.360,43
12/09/2017;11;Cliente 26;SP;R$ 1.189,03
14/09/2017;11;Cliente 26;SP;R$ 111,36
14/09/2017;11;Cliente 26;SP;R$ 53.823,82
18/09/2017;11;Cliente 26;SP;R$ 766,68
20/09/2017;11;Cliente 26;SP;R$ 770,60
20/09/2017;11;Cliente 26;SP;R$ 1.635,01
20/09/2017;11;Cliente 26;SP;R$ 33,59
21/09/2017;11;Cliente 26;SP;R$ 2.495,93
22/09/2017;11;Cliente 26;SP;R$ 90,07
22/09/2017;11;Cliente 26;SP;R$ 126,72
29/09/2017;11;Cliente 26;SP;R$ 26,31
29/09/2017;11;Cliente 26;SP;R$ 52.153,31
29/09/2017;11;Cliente 26;SP;R$ 275.097,67
05/10/2017;11;Cliente 26;SP;R$ 2.375,06
13/10/2017;11;Cliente 26;SP;R$ 269,78
13/10/2017;11;Cliente 26;SP;R$ 128,25
13/10/2017;11;Cliente 26;SP;R$ 1.717,86
13/10/2017;11;Cliente 26;SP;R$ 328,35
18/10/2017;11;Cliente 26;SP;R$ 474,64
20/10/2017;11;Cliente 26;SP;R$ 98.120,20
23/10/2017;11;Cliente 26;SP;R$ 1.027,24
25/10/2017;11;Cliente 26;SP;R$ 697,21
26/10/2017;11;Cliente 26;SP;R$ 376,85
27/10/2017;11;Cliente 26;SP;R$ 104.938,25
27/10/2017;11;Cliente 26;SP;R$ 498,46
30/10/2017;11;Cliente 26;SP;R$ 71.509,15
30/10/2017;11;Cliente 26;SP;R$ 173.851,33
31/10/2017;11;Cliente 26;SP;R$ 546,13
06/11/2017;11;Cliente 26;SP;R$ 482,86
09/11/2017;11;Cliente 26;SP;R$ 1.246,87
10/11/2017;11;Cliente 26;SP;R$ 59,45
10/11/2017;11;Cliente 26;SP;R$ 24,84
13/11/2017;11;Cliente 26;SP;R$ 6.131,09
13/11/2017;11;Cliente 26;SP;R$ 1.706,89
16/11/2017;11;Cliente 26;SP;R$ 12.242,76
16/11/2017;11;Cliente 26;SP;R$ 90,83
16/11/2017;11;Cliente 26;SP;R$ 11,34
17/11/2017;11;Cliente 26;SP;R$ 130,13
22/11/2017;11;Cliente 26;SP;R$ 51,26
22/11/2017;11;Cliente 26;SP;R$ 172,91
23/11/2017;11;Cliente 26;SP;R$ 113,56
24/11/2017;11;Cliente 26;SP;R$ 1.642,14
27/11/2017;11;Cliente 26;SP;R$ 145,40
28/11/2017;11;Cliente 26;SP;R$ 106,45
28/11/2017;11;Cliente 26;SP;R$ 288,05
29/11/2017;11;Cliente 26;SP;R$ 1.164,78
29/11/2017;11;Cliente 26;SP;R$ 19.750,76
29/11/2017;11;Cliente 26;SP;R$ 125,30
01/12/2017;11;Cliente 26;SP;R$ 81,83
05/12/2017;11;Cliente 26;SP;R$ 136.630,42
05/12/2017;11;Cliente 26;SP;R$ 1.955,11
05/12/2017;11;Cliente 26;SP;R$ 56,05
13/12/2017;11;Cliente 26;SP;R$ 84.829,48
15/12/2017;11;Cliente 26;SP;R$ 62.138,28
18/12/2017;11;Cliente 26;SP;R$ 176.317,08
20/12/2017;11;Cliente 26;SP;R$ 155,11
26/12/2017;11;Cliente 26;SP;R$ 249.325,59
11/01/2018;11;Cliente 26;SP;R$ 407.628,73
17/01/2018;11;Cliente 26;SP;R$ 194,04
22/01/2018;11;Cliente 26;SP;R$ 34.470,72
26/01/2018;11;Cliente 26;SP;R$ 48,32
29/01/2018;11;Cliente 26;SP;R$ 48,53
29/01/2018;11;Cliente 26;SP;R$ 286,87
31/01/2018;11;Cliente 26;SP;R$ 224,90
08/02/2018;11;Cliente 26;SP;R$ 226,20
08/02/2018;11;Cliente 26;SP;R$ 8.654,44
09/02/2018;11;Cliente 26;SP;R$ 193.764,80
14/02/2018;11;Cliente 26;SP;R$ 39,50
14/02/2018;11;Cliente 26;SP;R$ 261,09
14/02/2018;11;Cliente 26;SP;R$ 181,13
14/02/2018;11;Cliente 26;SP;R$ 261,45
14/02/2018;11;Cliente 26;SP;R$ 3.893,98
27/02/2018;11;Cliente 26;SP;R$ 146.708,45
02/03/2018;11;Cliente 26;SP;R$ 22,98
05/03/2018;11;Cliente 26;SP;R$ 32.524,59
06/03/2018;11;Cliente 26;SP;R$ 71,72
06/03/2018;11;Cliente 26;SP;R$ 4.682,25
12/03/2018;11;Cliente 26;SP;R$ 364,36
12/03/2018;11;Cliente 26;SP;R$ 99.988,75
16/03/2018;11;Cliente 26;SP;R$ 336,03
20/03/2018;11;Cliente 26;SP;R$ 70,16
26/03/2018;11;Cliente 26;SP;R$ 136,64
28/03/2018;11;Cliente 26;SP;R$ 459,31
28/03/2018;11;Cliente 26;SP;R$ 264,91
02/04/2018;11;Cliente 26;SP;R$ 117.564,16
02/04/2018;11;Cliente 26;SP;R$ 270,17
04/04/2018;11;Cliente 26;SP;R$ 426.629,72
05/04/2018;11;Cliente 26;SP;R$ 68.792,40
09/04/2018;11;Cliente 26;SP;R$ 402,05
10/04/2018;11;Cliente 26;SP;R$ 4.007,37
10/04/2018;11;Cliente 26;SP;R$ 9.476,01
11/04/2018;11;Cliente 26;SP;R$ 191,44
17/04/2018;11;Cliente 26;SP;R$ 1.111,87
19/04/2018;11;Cliente 26;SP;R$ 204,87
20/04/2018;11;Cliente 26;SP;R$ 8.397,00
23/04/2018;11;Cliente 26;SP;R$ 70,97
23/04/2018;11;Cliente 26;SP;R$ 582,74
23/04/2018;11;Cliente 26;SP;R$ 205,03
02/05/2018;11;Cliente 26;SP;R$ 205,39
04/05/2018;11;Cliente 26;SP;R$ 30.276,65
04/05/2018;11;Cliente 26;SP;R$ 93.196,15
17/05/2018;11;Cliente 26;SP;R$ 243,17
17/05/2018;11;Cliente 26;SP;R$ 671,71
18/05/2018;11;Cliente 26;SP;R$ 99.994,23
21/05/2018;11;Cliente 26;SP;R$ 129,18
21/05/2018;11;Cliente 26;SP;R$ 328.202,06
23/05/2018;11;Cliente 26;SP;R$ 2.035,22
23/05/2018;11;Cliente 26;SP;R$ 112,70
24/05/2018;11;Cliente 26;SP;R$ 474,29
24/05/2018;11;Cliente 26;SP;R$ 226,76
01/06/2018;11;Cliente 26;SP;R$ 539,59
01/06/2018;11;Cliente 26;SP;R$ 284,56
04/06/2018;11;Cliente 26;SP;R$ 599,71
04/06/2018;11;Cliente 26;SP;R$ 46.260,34
11/06/2018;11;Cliente 26;SP;R$ 2.180,99
11/06/2018;11;Cliente 26;SP;R$ 121,30
15/06/2018;11;Cliente 26;SP;R$ 24.892,25
15/06/2018;11;Cliente 26;SP;R$ 40,78
15/06/2018;11;Cliente 26;SP;R$ 247,86
15/06/2018;11;Cliente 26;SP;R$ 12.520,58
18/06/2018;11;Cliente 26;SP;R$ 86.288,67
19/06/2018;11;Cliente 26;SP;R$ 10.614,50
20/06/2018;11;Cliente 26;SP;R$ 63,24
25/06/2018;11;Cliente 26;SP;R$ 718,78
27/06/2018;11;Cliente 26;SP;R$ 78.788,63
27/06/2018;11;Cliente 26;SP;R$ 39.265,87
28/06/2018;11;Cliente 26;SP;R$ 118,49
28/06/2018;11;Cliente 26;SP;R$ 224,24
28/06/2018;11;Cliente 26;SP;R$ 63,65
28/06/2018;11;Cliente 26;SP;R$ 153,36
29/06/2018;11;Cliente 26;SP;R$ 1.018,66
29/06/2018;11;Cliente 26;SP;R$ 234,73
29/06/2018;11;Cliente 26;SP;R$ 3.363,34
02/07/2018;11;Cliente 26;SP;R$ 392,11
04/07/2018;11;Cliente 26;SP;R$ 266,45
05/07/2018;11;Cliente 26;SP;R$ 228,37
10/07/2018;11;Cliente 26;SP;R$ 269,20
10/07/2018;11;Cliente 26;SP;R$ 172,02
11/07/2018;11;Cliente 26;SP;R$ 259,88
16/07/2018;11;Cliente 26;SP;R$ 1.601,41
16/07/2018;11;Cliente 26;SP;R$ 137,42
16/07/2018;11;Cliente 26;SP;R$ 133,81
16/07/2018;11;Cliente 26;SP;R$ 166,77
16/07/2018;11;Cliente 26;SP;R$ 14.280,46
16/07/2018;11;Cliente 26;SP;R$ 1.786,86
17/07/2018;11;Cliente 26;SP;R$ 188,98
19/07/2018;11;Cliente 26;SP;R$ 213,99
19/07/2018;11;Cliente 26;SP;R$ 117,32
20/07/2018;11;Cliente 26;SP;R$ 5.122,22
25/07/2018;11;Cliente 26;SP;R$ 2.728,36
25/07/2018;11;Cliente 26;SP;R$ 18,90
25/07/2018;11;Cliente 26;SP;R$ 411.108,81
26/07/2018;11;Cliente 26;SP;R$ 26.917,10
30/07/2018;11;Cliente 26;SP;R$ 140,56
31/07/2018;11;Cliente 26;SP;R$ 544,62
31/07/2018;11;Cliente 26;SP;R$ 35,76
03/08/2018;11;Cliente 26;SP;R$ 441,40
07/08/2018;11;Cliente 26;SP;R$ 195,55
07/08/2018;11;Cliente 26;SP;R$ 488,52
07/08/2018;11;Cliente 26;SP;R$ 260,24
07/08/2018;11;Cliente 26;SP;R$ 249,19
07/08/2018;11;Cliente 26;SP;R$ 60,09
07/08/2018;11;Cliente 26;SP;R$ 235,79
08/08/2018;11;Cliente 26;SP;R$ 169.342,97
09/08/2018;11;Cliente 26;SP;R$ 16,15
13/08/2018;11;Cliente 26;SP;R$ 1.650,15
16/08/2018;11;Cliente 26;SP;R$ 448.494,17
17/08/2018;11;Cliente 26;SP;R$ 1.547,45
21/08/2018;11;Cliente 26;SP;R$ 580,98
21/08/2018;11;Cliente 26;SP;R$ 1.153,56
24/08/2018;11;Cliente 26;SP;R$ 222,86
24/08/2018;11;Cliente 26;SP;R$ 28.663,51
27/08/2018;11;Cliente 26;SP;R$ 121,90
31/08/2018;11;Cliente 26;SP;R$ 12,32
31/08/2018;11;Cliente 26;SP;R$ 241,98
03/09/2018;11;Cliente 26;SP;R$ 2.774,04
06/09/2018;11;Cliente 26;SP;R$ 513,52
06/09/2018;11;Cliente 26;SP;R$ 363,18
11/09/2018;11;Cliente 26;SP;R$ 376,70
14/09/2018;11;Cliente 26;SP;R$ 71.464,94
19/09/2018;11;Cliente 26;SP;R$ 4.020,79
02/10/2018;11;Cliente 26;SP;R$ 8.404,57
04/10/2018;11;Cliente 26;SP;R$ 89.253,66
09/10/2018;11;Cliente 26;SP;R$ 3.056,14
17/10/2018;11;Cliente 26;SP;R$ 2.928,95
07/11/2018;11;Cliente 26;SP;R$ 6.685,65
13/11/2018;11;Cliente 26;SP;R$ 4.201,45
14/11/2018;11;Cliente 26;SP;R$ 1.082,74
21/11/2018;11;Cliente 26;SP;R$ 2.185,18
13/02/2017;11;Cliente 319;SP;R$ 537,12
13/02/2017;11;Cliente 319;SP;R$ 1.033,86
13/02/2017;11;Cliente 319;SP;R$ 693,08
14/02/2017;11;Cliente 319;SP;R$ 645,67
14/02/2017;11;Cliente 319;SP;R$ 718,75
15/02/2017;11;Cliente 319;SP;R$ 651,21
16/02/2017;11;Cliente 319;SP;R$ 382,64
21/02/2017;11;Cliente 319;SP;R$ 868,20
22/02/2017;11;Cliente 319;SP;R$ 932,92
01/03/2017;11;Cliente 319;SP;R$ 580,42
02/03/2017;11;Cliente 319;SP;R$ 824,21
02/03/2017;11;Cliente 319;SP;R$ 1.757,43
06/03/2017;11;Cliente 319;SP;R$ 896,56
06/03/2017;11;Cliente 319;SP;R$ 932,01
06/03/2017;11;Cliente 319;SP;R$ 726,02
07/03/2017;11;Cliente 319;SP;R$ 817,30
07/03/2017;11;Cliente 319;SP;R$ 792,03
07/03/2017;11;Cliente 319;SP;R$ 1.234,41
07/03/2017;11;Cliente 319;SP;R$ 454,34
08/03/2017;11;Cliente 319;SP;R$ 1.144,93
09/03/2017;11;Cliente 319;SP;R$ 613,76
09/03/2017;11;Cliente 319;SP;R$ 459,89
09/03/2017;11;Cliente 319;SP;R$ 708,72
10/03/2017;11;Cliente 319;SP;R$ 832,06
10/03/2017;11;Cliente 319;SP;R$ 501,38
10/03/2017;11;Cliente 319;SP;R$ 1.109,93
14/03/2017;11;Cliente 319;SP;R$ 371,33
31/03/2017;11;Cliente 319;SP;R$ 718,78
04/04/2017;11;Cliente 319;SP;R$ 281,03
11/04/2017;11;Cliente 319;SP;R$ 768,40
12/04/2017;11;Cliente 319;SP;R$ 336,49
12/04/2017;11;Cliente 319;SP;R$ 407,59
13/04/2017;11;Cliente 319;SP;R$ 469,22
19/04/2017;11;Cliente 319;SP;R$ 1.919,55
19/04/2017;11;Cliente 319;SP;R$ 1.807,29
19/04/2017;11;Cliente 319;SP;R$ 1.323,46
19/04/2017;11;Cliente 319;SP;R$ 760,05
24/04/2017;11;Cliente 319;SP;R$ 621,76
25/04/2017;11;Cliente 319;SP;R$ 594,12
27/04/2017;11;Cliente 319;SP;R$ 1.194,56
27/04/2017;11;Cliente 319;SP;R$ 632,76
27/04/2017;11;Cliente 319;SP;R$ 821,81
02/05/2017;11;Cliente 319;SP;R$ 772,80
02/05/2017;11;Cliente 319;SP;R$ 558,84
15/05/2017;11;Cliente 319;SP;R$ 923,07
15/05/2017;11;Cliente 319;SP;R$ 584,55
19/05/2017;11;Cliente 319;SP;R$ 263,42
19/05/2017;11;Cliente 319;SP;R$ 392,46
19/05/2017;11;Cliente 319;SP;R$ 477,34
23/05/2017;11;Cliente 319;SP;R$ 286,85
23/05/2017;11;Cliente 319;SP;R$ 506,12
23/05/2017;11;Cliente 319;SP;R$ 398,24
24/05/2017;11;Cliente 319;SP;R$ 1.785,66
24/05/2017;11;Cliente 319;SP;R$ 1.511,49
24/05/2017;11;Cliente 319;SP;R$ 2.078,71
31/05/2017;11;Cliente 319;SP;R$ 365,38
31/05/2017;11;Cliente 319;SP;R$ 775,81
31/05/2017;11;Cliente 319;SP;R$ 366,08
05/06/2017;11;Cliente 319;SP;R$ 452,59
20/06/2017;11;Cliente 319;SP;R$ 163,91
26/06/2017;11;Cliente 319;SP;R$ 1.377,56
26/06/2017;11;Cliente 319;SP;R$ 1.182,77
26/06/2017;11;Cliente 319;SP;R$ 1.237,34
11/07/2017;11;Cliente 319;SP;R$ 405,90
11/07/2017;11;Cliente 319;SP;R$ 532,99
11/07/2017;11;Cliente 319;SP;R$ 631,91
14/07/2017;11;Cliente 319;SP;R$ 896,76
14/07/2017;11;Cliente 319;SP;R$ 1.001,84
19/07/2017;11;Cliente 319;SP;R$ 399,56
19/07/2017;11;Cliente 319;SP;R$ 593,75
24/07/2017;11;Cliente 319;SP;R$ 400,67
24/07/2017;11;Cliente 319;SP;R$ 501,74
24/07/2017;11;Cliente 319;SP;R$ 243,58
04/08/2017;11;Cliente 319;SP;R$ 1.224,08
11/08/2017;11;Cliente 319;SP;R$ 548,06
11/08/2017;11;Cliente 319;SP;R$ 2.199,90
11/08/2017;11;Cliente 319;SP;R$ 1.878,05
11/08/2017;11;Cliente 319;SP;R$ 788,81
11/08/2017;11;Cliente 319;SP;R$ 949,62
11/08/2017;11;Cliente 319;SP;R$ 1.063,78
11/08/2017;11;Cliente 319;SP;R$ 956,48
14/08/2017;11;Cliente 319;SP;R$ 356,94
14/08/2017;11;Cliente 319;SP;R$ 500,46
15/08/2017;11;Cliente 319;SP;R$ 357,21
18/08/2017;11;Cliente 319;SP;R$ 724,19
18/08/2017;11;Cliente 319;SP;R$ 596,79
21/08/2017;11;Cliente 319;SP;R$ 423,85
21/08/2017;11;Cliente 319;SP;R$ 706,01
05/09/2017;11;Cliente 319;SP;R$ 419,84
11/09/2017;11;Cliente 319;SP;R$ 1.439,11
11/09/2017;11;Cliente 319;SP;R$ 918,69
11/09/2017;11;Cliente 319;SP;R$ 943,86
13/09/2017;11;Cliente 319;SP;R$ 1.004,13
13/09/2017;11;Cliente 319;SP;R$ 1.015,84
13/09/2017;11;Cliente 319;SP;R$ 737,17
20/09/2017;11;Cliente 319;SP;R$ 323,12
21/09/2017;11;Cliente 319;SP;R$ 452,07
21/09/2017;11;Cliente 319;SP;R$ 307,77
21/09/2017;11;Cliente 319;SP;R$ 272,90
26/09/2017;11;Cliente 319;SP;R$ 1.125,76
26/09/2017;11;Cliente 319;SP;R$ 589,41
26/09/2017;11;Cliente 319;SP;R$ 772,23
28/09/2017;11;Cliente 319;SP;R$ 1.127,88
28/09/2017;11;Cliente 319;SP;R$ 959,16
28/09/2017;11;Cliente 319;SP;R$ 650,79
28/09/2017;11;Cliente 319;SP;R$ 765,10
28/09/2017;11;Cliente 319;SP;R$ 574,84
29/09/2017;11;Cliente 319;SP;R$ 354,45
02/10/2017;11;Cliente 319;SP;R$ 383,12
13/10/2017;11;Cliente 319;SP;R$ 1.164,95
13/10/2017;11;Cliente 319;SP;R$ 1.387,35
23/10/2017;11;Cliente 319;SP;R$ 839,49
23/10/2017;11;Cliente 319;SP;R$ 878,40
25/10/2017;11;Cliente 319;SP;R$ 557,50
25/10/2017;11;Cliente 319;SP;R$ 945,04
25/10/2017;11;Cliente 319;SP;R$ 1.117,52
26/10/2017;11;Cliente 319;SP;R$ 433,74
26/10/2017;11;Cliente 319;SP;R$ 914,73
27/10/2017;11;Cliente 319;SP;R$ 742,78
31/10/2017;11;Cliente 319;SP;R$ 952,01
01/11/2017;11;Cliente 319;SP;R$ 377,31
01/11/2017;11;Cliente 319;SP;R$ 1.035,31
03/11/2017;11;Cliente 319;SP;R$ 849,10
03/11/2017;11;Cliente 319;SP;R$ 855,62
03/11/2017;11;Cliente 319;SP;R$ 757,43
06/11/2017;11;Cliente 319;SP;R$ 1.439,79
06/11/2017;11;Cliente 319;SP;R$ 775,92
06/11/2017;11;Cliente 319;SP;R$ 1.350,22
07/11/2017;11;Cliente 319;SP;R$ 572,48
07/11/2017;11;Cliente 319;SP;R$ 782,37
08/11/2017;11;Cliente 319;SP;R$ 408,69
08/11/2017;11;Cliente 319;SP;R$ 735,25
08/11/2017;11;Cliente 319;SP;R$ 333,12
09/11/2017;11;Cliente 319;SP;R$ 283,17
09/11/2017;11;Cliente 319;SP;R$ 461,65
16/11/2017;11;Cliente 319;SP;R$ 550,84
16/11/2017;11;Cliente 319;SP;R$ 1.093,07
17/11/2017;11;Cliente 319;SP;R$ 360,72
17/11/2017;11;Cliente 319;SP;R$ 424,54
17/11/2017;11;Cliente 319;SP;R$ 343,26
27/11/2017;11;Cliente 319;SP;R$ 2.474,27
27/11/2017;11;Cliente 319;SP;R$ 2.491,78
28/11/2017;11;Cliente 319;SP;R$ 1.027,85
28/11/2017;11;Cliente 319;SP;R$ 1.139,96
29/11/2017;11;Cliente 319;SP;R$ 653,34
29/11/2017;11;Cliente 319;SP;R$ 676,41
30/11/2017;11;Cliente 319;SP;R$ 1.267,21
30/11/2017;11;Cliente 319;SP;R$ 660,92
30/11/2017;11;Cliente 319;SP;R$ 485,87
01/12/2017;11;Cliente 319;SP;R$ 608,61
05/12/2017;11;Cliente 319;SP;R$ 414,98
05/12/2017;11;Cliente 319;SP;R$ 328,82
07/12/2017;11;Cliente 319;SP;R$ 566,03
07/12/2017;11;Cliente 319;SP;R$ 843,61
07/12/2017;11;Cliente 319;SP;R$ 634,24
11/12/2017;11;Cliente 319;SP;R$ 373,36
11/12/2017;11;Cliente 319;SP;R$ 848,98
11/12/2017;11;Cliente 319;SP;R$ 266,15
15/12/2017;11;Cliente 319;SP;R$ 285,50
15/12/2017;11;Cliente 319;SP;R$ 319,48
15/12/2017;11;Cliente 319;SP;R$ 629,59
18/12/2017;11;Cliente 319;SP;R$ 406,63
18/12/2017;11;Cliente 319;SP;R$ 309,31
18/12/2017;11;Cliente 319;SP;R$ 234,57
11/01/2018;11;Cliente 319;SP;R$ 308,23
02/02/2018;11;Cliente 319;SP;R$ 277,75
02/02/2018;11;Cliente 319;SP;R$ 637,09
05/02/2018;11;Cliente 319;SP;R$ 609,57
05/02/2018;11;Cliente 319;SP;R$ 942,30
14/02/2018;11;Cliente 319;SP;R$ 548,06
15/02/2018;11;Cliente 319;SP;R$ 479,10
20/02/2018;11;Cliente 319;SP;R$ 188,59
22/02/2018;11;Cliente 319;SP;R$ 525,33
